Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	taxa	derives from	derives from (new term)	Exact Synonym	Related synonym	Broad Synonym	Narrow Synonym	see also	curation status	comment	image	created	term contributor	term requested	Curation notes
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|				AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image	AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|		
FOODON:03000463	fish oil	cod liver oil			A fish oil that is derived from the liver of cod fish.	https://en.wikipedia.org/wiki/Cod_liver_oil												2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000464	fish oil	sardine oil			A fish oil that is derived from sardine fish.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866		
FOODON:03000465	fish oil	menhaden oil			A fish oil that is derived from menhaden fish.	https://www.sciencedirect.com/topics/neuroscience/menhaden-oil												2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000466	menhaden oil	menhaden oil (hydrogenated)			A hydrogenated derivative of menhaden oil.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866		
FOODON:03000280	soybean seed (field) food product	soybean meal (defatted)			A soybean meal without hull.	https://en.wikipedia.org/wiki/Soybean_meal												2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000281	margarine food product|soybean food product	soy margarine (hydrogenated)			Margarine that is made from hydrogenated soy oil.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000282	skim milk (liquid)	skim milk (vitamin A and D fortified)			Skim milk that is  Vitamin A and Vitamin D fortified.	https://www.healthline.com/nutrition/fortified-milk												2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000284	skim milk (liquid)	skim milk (vitamin A and D fortified, protein fortified)			Skim milk which is Vitamin A, Vitamin D and protein fortified.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000283	skim milk (liquid)	skim milk (vitamin A and D fortified, nonfat milk solids added)			Skim milk which is Vitamin A and Vitamin D fortified and also have nonfat milk solids added in it.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000292	cow milk (liquid)	cow milk (reduced fat)			Cow milk that has approximately 2% fat.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000293	cow milk (reduced fat)	cow milk (reduced fat, vitamin A and D fortified, protein fortified)			Reduced fat cow milk that is Vitamin A, Vitamin D and protein fortified.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000291	cow milk (reduced fat)	cow milk (reduced fat, vitamin A and D fortified, nonfat milk solids added)			Reduced fat cow milk that  and is Vitamin A and Vitamin D fortified and have nonfat milk solids added in it.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
FOODON:03000285	lowfat cow milk (1% fat)	lowfat cow milk (1% fat, vitamin A and D fortified, nonfat milk solids added)			Low fat cow milk that contains 1% fat, and is Vitamin A and Vitamin D fortified, and has nonfat milk solids added in it.													2023-10-13T19:38:15Z	https://orcid.org/0000-0001-5275-8866	USDA	
